Type,Priority,Content,File,Line
TODO,medium,"Write**: Task management",".claude/commands/sparc/coder.md",16
TODO,medium,"Write**: Task creation and coordination",".claude/commands/sparc/orchestrator.md",10
TODO,medium,"Read**: Task status and progress reading",".claude/commands/sparc/orchestrator.md",11
TODO,medium,"Write**: Task coordination",".claude/commands/sparc/researcher.md",15
TODO,medium,"Write**: Task management"",",".project-state.json",11
TODO,medium,"Write**: Task creation and coordination"",",".project-state.json",22
TODO,medium,"Read**: Task status and progress reading"",",".project-state.json",33
TODO,medium,"Write**: Task coordination"",",".project-state.json",44
NOTE,low,"**: Add context notes as you go"",",".project-state.json",55
NOTE,low,"s"",",".project-state.json",121
NOTE,low,"** This component is designed to be reusable for both weeks AND days views by accepting a `periodType` prop."",",".project-state.json",286
NOTE,low,"** The daily view works differently than weekly view:"",",".project-state.json",935
NOTE,low,"**: The CSS files are imported within `globals.css` rather than separately in `layout.tsx` to ensure proper Tailwind layer processing and maintain the CSS cascade order."",",".project-state.json",2002
BUG,high,"fixes"",",".project-state.json",2398
BUG,high,"**: Tasks NOT saved to localStorage"",",".project-state.json",3300
NOTE,low,"**: This fix addresses the root cause (localStorage not being populated) rather than working around symptoms (missing scheduledTime)."",",".project-state.json",3399
NOTE,low,"s"",",".project-state.json",4323
NOTE,low,"s"",",".project-state.json",4697
NOTE,low,"s"",",".project-state.json",4994
NOTE,low,"s"",",".project-state.json",5588
NOTE,low,"**: Current implementation is actually more feature-rich"",",".project-state.json",5599
NOTE,low,"s"",",".project-state.json",5709
NOTE,low,"This analysis preserves the intentional hybrid architecture while identifying opportunities for optimization and cleanup.*"",",".project-state.json",6468
NOTE,low,"s:**"",",".project-state.json",6490
NOTE,low,"s"",",".project-state.json",6930
REFACTOR,medium,"ing Phases Covered:** Phase 0, 1, 2"",",".project-state.json",8382
NOTE,low,"s"",",".project-state.json",10186
OPTIMIZE,low,"d list rendering"",",".project-state.json",11968
OPTIMIZE,low,"d Processing**"",",".project-state.json",11979
BUG,high,"Fix**: Heart counter and task filtering will show correct counts"",",".project-state.json",12529
BUG,high,"Fix Verification"",",".project-state.json",12540
REFACTOR,medium,"ing Implementation Plan"",",".project-state.json",13541
NOTE,low,"** While `calculateDaysSinceProcedure` and `calculateWeekNumber` are already shared (good!), the **grouping and aggregation** logic that uses them is duplicated."",",".project-state.json",13948
NOTE,low,"** The `extractRestrictionDuration()` function in Phase 1.1 already solves this."",",".project-state.json",14311
REFACTOR,medium,"ing Phase 0 & Phase 1 Implementation Summary"",",".project-state.json",14828
NOTE,low,"** This utility is created but not yet integrated. Integration is planned for Phase 1.3 completion."",",".project-state.json",14839
BUG,high,"Prevention:** Future bugs only need to be fixed once"",",".project-state.json",14850
REFACTOR,medium,"ing Phase 1.2 & 1.3 Implementation Summary"",",".project-state.json",14894
REFACTOR,medium,"ing Phase 2 Summary"",",".project-state.json",14905
NOTE,low,"** This was already implemented! You can use it now."",",".project-state.json",15807
REFACTOR,medium,"ing Opportunity:**"",",".project-state.json",16027
TODO,medium,"Use shared types for consistency across platforms when available"",",".project-state.json",16192
NOTE,low,"We're gradually migrating to @care-tracker/shared types"",",".project-state.json",16203
TODO,medium,"Implement proper streak calculation"",",".project-state.json",16214
TODO,medium,"Implement milestone sync"",",".project-state.json",16225
TODO,medium,"Send to external monitoring service (e.g., Sentry, DataDog)"",",".project-state.json",16236
TODO,medium,"Implement proper APM (Application Performance Monitoring)"",",".project-state.json",16247
TODO,medium,"Send metrics to external service"",",".project-state.json",16258
TODO,medium,"Import shared types for migration when @care-tracker/shared package is available"",",".project-state.json",16269
NOTE,low,"We're gradually migrating to @care-tracker/shared types"",",".project-state.json",16280
TODO,medium,"Implement better retry logic with exponential backoff"",",".project-state.json",16291
TODO,medium,"Implement batching for better performance"",",".project-state.json",16302
TODO,medium,"Add pagination support"",",".project-state.json",16313
TODO,medium,"Add button to clear all localStorage"",",".project-state.json",16324
BUG,high,"s reach production, refactoring is risky, regression likely"",",".project-state.json",16335
OPTIMIZE,low,"with useMemo and useCallback:**"",",".project-state.json",16346
NOTE,low,"Procedures are now loaded from database via loadProcedures()"",",".project-state.json",16357
TODO,medium,"This needs to be fixed (written 2 years ago)"",",".project-state.json",16368
NOTE,low,"Prisma returns null for empty JSON fields in PostgreSQL"",",".project-state.json",16379
OPTIMIZE,low,"d task fetching with relationships\nexport async function GET() {\n  // Fetch tasks with related data in one query\n  const tasks = await prisma.task.findMany({\n    include: {\n      reminders: true,\n      dependencies: true\n    }\n  })\n\n  // Batch translate with relationships\n  const uiTasks = TaskTranslator.toUITasksWithRelations(tasks)\n\n  return NextResponse.json({ tasks: uiTasks })\n}\n```\n\n**Deliverables:**\n- Optimized query patterns\n- Reduced N+1 queries\n- Performance improvement metrics"",",".project-state.json",17529
